"Attribute","Atributas"
"Coefficient","Koeficientas"
"Add","Pridėti"
"Execute","Vykdyti"
"Create query in LupaSearch","Sukurti ""query"" LupaSearch'e"
"Creating...","Kuriama..."
"Done.","Atlikta."
"There was an exception. Please check the logs for more information.","Įvyko klaida. Patikrinti logus dėl išsamesnios informacijos."
"Type undefined","Nenurodytas tipas"
"Store ID undefined","Parduotuvės ID nenurodytas"
"Query successfully generated.","Užklausa sėkmingai sukurta."
"Queries successfully generated.","Užklausos sėkmingai sukurtos."
"Category","Kategorija"
"Categories","Kategorijos"
"in category","kategorijoje"
"Source", "Sandėlis"
"Price","Kaina"
"Query builder is not found for given type %1","Užklausos generatorius nerastas pateiktam tipui %1"
"Unknown query type.","Nežinomas užklausos tipas."
"Unknown response.","Nežinomas atsakas."
